bairro,cidade,estado,lat,lng
Água Vermelha,São Carlos,SP,-21.8985118,-47.8503572
Chacara São Caetano,São Carlos,SP,-22.0071974,-47.875632
Parque dos Passaros,São Carlos,SP,-21.9869402,-47.890504
Estância Maria Alice Prolongamento,São Carlos,SP,,
Jardim Guanabara,São Carlos,SP,-21.9877078,-47.8925414
Residencial Ipê Mirim,São Carlos,SP,,
Condominio Parque Residencial Damha Golf,São Carlos,SP,,
Jardim Dona Francisca,São Carlos,SP,-22.0313727,-47.865995
Aquarela,São Carlos,SP,-22.0100026,-47.9172729
Condominio Residencial Village Dahma III,São Carlos,SP,,
Sítio,São Carlos,SP,-21.7889141,-47.9026705
Arnon de Mello,São Carlos,SP,,
Encontro Valparaiso II,São Carlos,SP,-21.9332661,-47.9293119
Jardim Social Presidente Collor,São Carlos,SP,-22.0632447,-47.8963171
Área Rural de Água Vermelha,São Carlos,SP,,
Jardim Novo Horizonte,São Carlos,SP,-22.0381904,-47.8562529
Loteamento Arace de Santo Antonio I,São Carlos,SP,,
Jardim dos Ipes (Agua Vermelha),São Carlos,SP,,
Chacara São Joao,São Carlos,SP,-22.0119602,-47.8765405
Jardim Martinelli,São Carlos,SP,-22.0404447,-47.899907
Apora de São Fernando,São Carlos,SP,-21.7348624,-47.9029483
Ipe Mirim,São Carlos,SP,,
Rural,São Carlos,SP,-22.0693671,-47.7778204
Jardim Nossa Senhora Aparecida,São Carlos,SP,-22.0236271,-47.8773926
Condomínio Parque Residencial Damha II,São Carlos,SP,-21.9688567,-47.8983438
Loteamento Habitacional São Carlos 2,São Carlos,SP,,
Parque Tecnológico Damha II São Carlos,São Carlos,SP,,
Parque Santa Mônica,São Carlos,SP,-22.0111436,-47.9028055
Tibaia de São Fernando II,São Carlos,SP,-21.934981,-47.8867878
Jardim Sao Gabriel,São Carlos,SP,,
Loteamento Sao Carlos Club,São Carlos,SP,,
Residencial Idalina Pozzi Margarido,São Carlos,SP,,
Estância Maria Alice,São Carlos,SP,,
Residencial Jane Valerio,São Carlos,SP,,
Chacara Flores,São Carlos,SP,,
Jardim Sao Carlos V,São Carlos,SP,,
Residencial  Astolpho Luiz do Prado,São Carlos,SP,,
Vila Boa Vista II,São Carlos,SP,,
Vila Marigo,São Carlos,SP,,
